ticker,year,quarter,is_annual,revenue,cogs,net_profit,ar_end,inv_end,ap_end,total_assets_end,total_equity_end,NPM,ROA,ROE,DSO,DIO,DPO,CCC,rev_low,balance_ok,source
OHTL,2564,Q4,False,220.6755,217.5427,-123.251,67.1032,20.5458,294.5062,6303.015,1559.0963,-0.5585,-0.0195,-0.0773,23.5212,8.4618,115.007,-83.0241,,,
OHTL,2565,Q1,False,253.9844,235.3374,-112.2507,48.5313,20.2286,273.3735,6169.4373,1450.7784,-0.442,-0.018,-0.0746,20.4877,7.7967,108.587,-80.3027,,True,Q1_FS.xlsx
OHTL,2565,Q2,False,335.7315,264.8354,-58.2002,61.5592,20.9875,255.2722,6101.6498,1397.1267,-0.1734,-0.0095,-0.0409,14.92,7.0811,90.8239,-68.8228,,True,Q2_FS.xlsx
OHTL,2565,Q3,False,479.8403,321.3138,-8.0225,68.9837,20.8894,323.3475,6099.4833,1387.5207,-0.0167,-0.0013,-0.0058,12.5145,5.9952,82.8365,-64.3268,,True,Q3_FS.xlsx
OHTL,2565,Q4,False,861.842,371.593,266.6809,120.8099,26.5771,344.8985,6123.6887,1663.5023,0.3094,0.0436,0.1748,10.1301,5.8759,82.7231,-66.7171,,,
OHTL,2566,Q1,False,687.6216,323.953,127.7652,87.8005,26.7599,250.4112,5998.5204,1790.9899,0.1858,0.0211,0.074,13.6521,7.409,82.6939,-61.6328,,True,Q1_FS.xlsx
OHTL,2566,Q2,False,546.3819,311.2778,34.2226,94.7157,27.0311,285.6237,5988.5151,1954.2387,0.0626,0.0057,0.0183,15.1991,7.8627,78.3531,-55.2913,,True,Q2_FS.xlsx
OHTL,2566,Q3,False,574.5457,354.2492,16.2047,95.655,27.7705,346.7044,5964.7458,1971.4394,0.0282,0.0027,0.0083,15.2417,7.1161,82.1091,-59.7513,,True,Q3_FS.xlsx
OHTL,2566,Q4,False,711.7621,365.8978,99.2515,102.6832,32.4615,365.7168,5948.5656,2068.992,0.1394,0.0167,0.0491,12.8183,7.5722,89.5643,-69.1738,,,
OHTL,2567,Q1,False,773.1407,348.9028,163.0921,80.0023,24.3724,319.664,5904.4805,2230.1437,0.2109,0.0275,0.0759,10.6331,7.3302,88.3975,-70.4343,,True,Q1_FS.xlsx
OHTL,2567,Q2,False,525.6543,307.9501,35.8379,86.3228,24.019,296.0098,5818.2651,2265.9816,0.0682,0.0061,0.0159,14.3969,7.1499,90.9666,-69.4198,,True,Q2_FS.xlsx
OHTL,2567,Q3,False,621.4638,368.041,57.0653,98.3205,22.4763,343.8427,5820.0681,2323.0469,0.0918,0.0098,0.0249,13.6671,5.8113,79.9726,-60.4943,,True,Q3_FS.xlsx
OHTL,2567,Q4,False,785.4024,368.4952,164.0267,84.2025,28.8604,374.8013,5742.7004,2483.8218,0.2088,0.0284,0.0682,10.6901,6.4085,89.7098,-72.6112,,,
OHTL,2568,Q1,False,789.301,332.6197,193.8595,89.5299,23.1416,268.2755,5725.7918,2677.6813,0.2456,0.0338,0.0751,9.9049,7.0353,87.0016,-70.0614,,True,Q1_FS.xlsx
OHTL,2568,Q2,False,433.486,280.8156,-21.6962,67.4259,20.6785,280.6725,5670.2721,2655.9851,-0.0501,-0.0038,-0.0081,16.4745,7.1001,88.945,-65.3703,,True,Q2_FS.xlsx
OHTL,2568,Q3,False,478.3312,331.1909,-26.0182,78.9921,32.8947,503.8692,5846.5963,2629.9669,-0.0544,-0.0045,-0.0098,14.0807,7.4409,108.9671,-87.4455,,True,Q3_FS.xlsx
OHTL,2568,Q4,False,823.8227,387.9619,167.549,107.3732,36.3419,598.6416,6047.5464,2797.2204,0.2034,0.0282,0.0617,10.4061,8.2093,130.7229,-112.1075,,,
SHANG,2564,Q1,False,77.037,59.991,-84.025,9.62,23.251,89.028,7704.899,7425.499,-1.0907,-0.0109,-0.0113,16.1215,36.0699,140.0768,-87.8853,Y,True,Q1_FS.xls
SHANG,2564,Q2,False,65.757,53.13,-107.398,5.633,22.663,74.083,7795.243,7512.439,-1.6333,-0.0139,-0.0144,10.5542,39.3203,139.6866,-89.8122,Y,True,Q2_FS.xls
SHANG,2564,Q3,False,72.796,57.563,-113.631,12.294,20.033,74.588,7761.689,7481.804,-1.561,-0.0146,-0.0152,11.3281,34.1194,118.8066,-73.3591,Y,True,Q3_FS.xls
SHANG,2564,Q4,False,140.2838,81.1546,-181.31,28.8968,20.2967,99.6522,7577.4511,7251.1661,-1.2925,-0.0236,-0.0246,13.5067,22.8596,98.7627,-62.3963,Y,,
SHANG,2565,Q1,False,126.409,67.552,-84.618,29.831,19.427,74.864,7445.292,7131.687,-0.6694,-0.0113,-0.0118,20.9064,26.4623,116.2544,-68.8857,Y,True,Q1_FS.xls
SHANG,2565,Q2,False,199.551,82.545,-43.38,43.417,19.074,90.167,7561.836,7206.907,-0.2174,-0.0058,-0.0061,16.7014,21.2223,90.9675,-53.0438,,True,Q2_FS.xls
SHANG,2565,Q3,False,364.513,128.473,62.364,76.648,18.0,113.972,7787.865,7379.094,0.1711,0.0081,0.0086,15.1517,13.2744,73.0924,-44.6662,,True,Q3_FS.xls
SHANG,2565,Q4,False,510.5389,169.541,-8.2596,88.5692,24.1844,192.4815,7809.042,7292.631,-0.0162,-0.0011,-0.0011,14.8862,11.4455,83.1472,-56.8155,,,
SHANG,2566,Q1,False,601.976,164.22,117.248,56.896,20.793,139.563,7829.609,7434.763,0.1948,0.015,0.0159,10.8741,12.3247,90.9876,-67.7888,,True,Q1_FS.xls
SHANG,2566,Q2,False,448.375,140.662,102.171,42.509,23.989,143.965,7961.29,7548.144,0.2279,0.0129,0.0136,10.0874,14.4857,91.7129,-67.1399,,True,Q2_FS.xls
SHANG,2566,Q3,False,508.461,176.621,66.246,74.082,24.112,156.461,8028.141,7575.094,0.1303,0.0083,0.0088,10.5479,12.5276,78.2444,-55.1688,,True,Q3_FS.xls
SHANG,2566,Q4,False,627.3777,195.3247,-146.1472,75.4878,31.0397,222.811,7848.6757,7298.2782,-0.2329,-0.0184,-0.0197,10.9666,12.9885,89.3206,-65.3655,,,
SHANG,2567,Q1,False,701.44,191.092,223.647,73.267,25.57,176.546,8086.747,7610.423,0.3188,0.0281,0.03,9.5432,13.331,94.044,-71.1698,,True,Q1_FS.xls
SHANG,2567,Q2,False,471.877,151.669,90.274,43.853,24.049,155.739,8060.359,7600.249,0.1913,0.0112,0.0119,11.2931,14.8855,99.684,-73.5054,,True,Q2_FS.xls
SHANG,2567,Q3,False,510.709,175.902,34.719,65.036,23.925,164.766,8007.153,7459.225,0.068,0.0043,0.0046,9.8077,12.5456,83.815,-61.4617,,True,Q3_FS.xls
SHANG,2567,Q4,False,746.1398,215.5033,22.3365,80.0644,28.7323,234.9568,8067.4338,7439.2267,0.0299,0.0028,0.003,8.9455,11.2399,85.3223,-65.1369,,,
SHANG,2568,Q1,False,659.954,188.579,159.821,61.376,27.765,162.319,8195.463,7595.093,0.2422,0.0197,0.0213,9.6443,13.4817,94.8007,-71.6747,,True,Q1_FS.xls
SHANG,2568,Q2,False,401.638,145.967,-40.895,42.973,27.609,137.849,7984.993,7468.704,-0.1018,-0.0051,-0.0054,11.8213,17.2609,93.5667,-64.4845,,True,Q2_FS.xls
SHANG,2568,Q3,False,467.158,166.785,87.081,57.888,25.864,132.189,8034.036,7505.949,0.1864,0.0109,0.0116,9.9316,14.7481,74.4776,-49.798,,True,Q3_FS.xls
SHANG,2568,Q4,False,624.6388,193.8865,34.8966,90.0129,27.8828,259.24,8261.9755,7509.0939,0.0559,0.0043,0.0046,10.8918,12.7515,92.8674,-69.2241,,,
SHR,2564,Q1,False,692.241,566.057,-310.898,113.022,184.864,1434.284,36754.953,15954.945,-0.4491,-0.0097,-0.0197,10.7469,28.6688,160.7093,-121.2936,Y,True,Q1_FS.xlsx
SHR,2564,Q2,False,837.966,785.536,-571.435,116.663,165.008,1311.748,37165.42,15819.261,-0.6819,-0.0155,-0.036,12.4715,20.2654,159.0563,-126.3195,Y,True,Q2_FS.xlsx
SHR,2564,Q3,False,1433.64,1018.67,-281.861,212.509,168.977,1503.368,38408.151,16238.608,-0.1966,-0.0075,-0.0176,10.5619,15.0817,127.122,-101.4784,,True,Q3_FS.xlsx
SHR,2564,Q4,False,1725.7028,1225.6937,-70.0279,387.2258,197.7769,1634.569,37214.1185,15881.8582,-0.0406,-0.0019,-0.0044,15.9864,13.7642,117.7661,-88.0154,,,
SHR,2565,Q1,False,1700.05,1258.798,-204.086,392.217,194.508,1603.991,36458.411,15549.686,-0.12,-0.0055,-0.013,20.6317,14.0236,115.7733,-81.118,,True,Q1_FS.xlsx
SHR,2565,Q2,False,2094.021,1427.143,-96.879,439.668,205.79,1687.776,37047.483,15997.386,-0.0463,-0.0026,-0.0061,18.0756,12.7623,104.9477,-74.1098,,True,Q2_FS.xlsx
